Sem a pandemia qual seria o seu ano provável de formatura?,Você atualmente possui acesso à internet?,Atualmente você consegue (você pode escolher várias opções):,Na questão anterior você selecionou todas as opções?,Qual equipamento te falta para realizar todas as atividades remotamente?,As condições do seu local de estudo são:,Atualmente o que falta em seu local de estudo para ele ser ótimo?,"Atualmente, quanto os livros da biblioteca física são importantes para seus estudos?",Quantas disciplinas a distância você conseguiria cursar em um semestre? Note que ela pode demandar mais tempo que uma disciplina presencial.,Quais seus motivos para não fazer aulas a distância? Seja sincero.,"Desconsiderando suas atuais limitações de acesso, quais disciplinas você estaria disposto a cursar a distância no próximo semestre? (você tem que ter o pré-requisito)","Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?",Quais tipos de disciplinas deveriam ser oferecidas a distância durante o isolamento social (você pode escolher várias opções ou nenhuma)?,"Faça aqui outros comentários, dúvidas para aprimorarmos nosso levantamento de dados"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, ESTATÍSTICA BAYESIANA, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Um espaço sem distrações ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, PROBABILIDADE 1, SÉRIES FINANCEIRAS",Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos",Não,computador,"Aceitáveis, alguma dificuldade de concentração",Internet de qualidade ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Quase todos, menos de 10% não tem condições",ACIEPEs,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Uma boa iluminação, silêncio e uma mesa de estudo melhor","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"ANÁLISE DE RISCOS, CONTROLE ESTATÍSTICO DE QUALIDADE, MINERAÇÃO DE DADOS, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 2, SÉRIES FINANCEIRAS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, TG2","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs","Eu sei que o EAD não é o ideal. Sinceramente, se pudesse ser presencial seria melhor, mas não é seguro por hora e não sabemos quando será. Mas eu estou em uma situação de final de curso com meus gestores do estágio me cobrando informações sobre uma possível formatura, pois existe a chance de eles conseguirem efetivar alguns estagiários e/ou demitirem pessoas devido as circunstâncias, então responder que estou esperando uma posição oficial da universidade há semanas me deixa em uma situação complicada para com os meus superiores.  Não saber o que vai, ou possivelmente vai acontecer está difícil. Independente de qual seja a decisão e eu imagino o quanto vocês devam estar debatendo e colocando da balança o que seria melhor para todos, eu preciso de uma decisão para me organizar e saber o que responder para a empresa. Muito obrigada pela dedicação, por se importarem com todas as situações que os alunos possam estar e principalmente por nos ouvirem. "
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,"Eu tenho um notebook, mas ele não é bom, eu não conseguiria por exemplo, baixar certos programas ou rodar certos códigos pesados. Nele também não funcionam o microfone e a câmera -> No celular sim. ","Ruins, muita dificuldade de concentração","FALTA MUITO SILÊNCIO! Não é segredo que eu tenho grandes problemas de concentração. Em casa (as vezes) é péssimo, é campainha que toca, telefone que toca, alguém assistindo televisão (meu quarto fica ao lado da sala), meus pais (55 anos e 56 anos) me chamando para ajudar em algo. Meu pai trabalha no período da noite em uma usina e durante a manhã eu ajudo ele em algumas tarefas. Eu ajudo minha mãe na preparação das refeições, na faxina, vou ao banco, supermercado, e etc... Não consigo prever como será meu dia. ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA",Todos,"Optativas, ACIEPEs","Apenas um comentário sobre a pergunta: ""Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?"" 
Obvio que se a disciplina for oferecida (como sendo obrigatória e contabilizada de alguma forma no histórico) todos (com interesse) devem ter as condições de faze-la, senão seria algo totalmente injusto e desigual com os demais que não conseguem ou não podem (e querem fazer). 

A estatística não é um curso nada fácil. Se presencialmente, com as aulas presenciais, monitorias, biblioteca com seus livros e espaço físico próprio para estudo, departamento disponível para estudar e tirar as dúvidas com os professores e com os amigos, se mesmo com tudo isso o desempenho dos alunos (em algumas muitas disciplinas da estatística e do DM) é ruim e a evasão no curso é alta, eu fico imaginando como seria em um EAD. 

É fato que nesse cenário de pandemia CADA ALUNO TEM UMA REALIDADE diferente do outro, e precisamos de uma adaptação adequada a todos, nenhum dos alunos sabe como será o seu próprio desempenho em atividades online, as dificuldades que vão enfrentar, como vão solucionar os eventuais problemas que vão surgir, entre muitas outras coisas.

O que eu vou escrever abaixo é só uma SUGESTÃO (que não faço ideia se é viável), e 
 claro, levando em conta que TODOS OS ALUNOS INTERESSADOS NA DISCIPLINA POSSUEM ESTRUTURA ADEQUADA PARA REALIZA-LA. 
Obs. Eu sei que a UFSCar abriu um semestre suplementar, com ACIEPEs e etc.. Mas não era obrigatório e não sei como foi a adesão a isso.  

Acho válido um TESTE. O sistema poderia abrir um semestre teste (que pode ser de 1, 2 meses, ou até mesmo esse segundo semestre inteiro), com a condição de que se o aluno passar na disciplina solicitada, ficará com a aprovação, e o aluno que não passar ficará com a reprovação, MAS por ser um cenário desconhecido por todos, seria um semestre sem aquela exigência de 8 créditos em aprovações (no ano) ou contabilização no tempo para se formar do aluno (o aluno continuaria com o mesmo tempo paralisado em 2019/2) - (enxergo isso como algo que não seria uma pressão prejudicial a estrutura da saúde mental do aluno em tempos de pandemia e isolamento, o aluno ficaria mais ""confiante e motivado"" com um semestre nesse formato e isso levaria a uma grande adesão (eu imagino)).
Com esse semestre teste, seria possível verificar como seriam os resultados gerais dos dois lados (com o feedback posterior do professor e do aluno).
Eu gostaria por exemplo, de testar (dentro da minha realidade) como seria fazer Introdução a Estatística ou Fundamentos, no modo EAD, mas sem aquela pressão de precisar passar, teriam provas, trabalhos e o aluno poderia vivenciar dentro da sua realidade de vida, como será essa nova estrutura de aulas e avaliação, estará de certa forma aprendendo e poderá ir se adaptando, se moldando ao seu tempo, para o primeiro semestre de 2021 (caso ainda precisemos ficar em isolamento).
Acredito que com isso, o estudo de aulas em EAD seriam muito mais precisos, e esse teste em EAD poderia ficar como estudo para o futuro, existem previsões de novas pandemias no futuro, e como estamos na primeira em tempos digitais, esse estudo serviria para estruturar as próximas (que devem ser ainda na nossa geração)."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias gerais",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ANÁLISE DE RISCOS, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, INFERÊNCIA ESTATISTICA A, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, LABORATÓRIO DE ESTATÍSTICA APLICADA, MÉTODOS EM BIOMETRIA, TG2",Todos,Optativas,
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,um computador pessoal,"Aceitáveis, alguma dificuldade de concentração",um computador pessoal,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Muitos, 50% ou mais tem condições","Optativas, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio e um local isolado.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Nenhuma,Ineficiência de aprendizado.,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, PROBABILIDADE 1","Alguns, basta haver alunos aptos e interessados","Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Um pouco mais de silêncio ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ATUÁRIA GERAL, ESTATÍSTICA BAYESIANA, INFERÊNCIA ESTATISTICA B, PROCESSOS ESTOCÁSTICOS","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","- Se possível, gostaria que os professores gravassem vídeo aulas para a maior retenção do conteúdo;
- Se possível também, gostaria que os professores disponibilizassem mais de material didático, mesmo em inglês, pois é difícil depender de uma única fonte de estudos;
- E por fim, deixo aqui a minha opinião. Sei que existe um pessoal que não tem acesso a internet e nem computadores. 
Mas eu tenho condições e gostaria de continuar com os meus estudos. Assim eu posso me formar e deixar a minha vaga livre para um futuro estudante. 
E acho isso importante, pois uma única vaga pode mudar a vida de alguém, ja que eu me candidatei a uma vaga com cota para a segunda chamada e conseguiu uma oportunidade."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração",Ambiente academico,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Nenhuma,"Falta de concentração, aprendizado prejudicado e o pouco preparo da universidade em oferecer materias a distancia","INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,"Optativas, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias gerais",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, PROCESSOS ESTOCÁSTICOS, TG2","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA","Alguns, basta haver alunos aptos e interessados","Optativas, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,"Aceitáveis, alguma dificuldade de concentração",Silêncio,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, PROBABILIDADE 1","Alguns, basta haver alunos aptos e interessados","Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",aula presencial,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA, SÉRIES TEMPORAIS",Todos,Optativas,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração","Um cômodo adequado contendo uma mesa e, além disso, tenho uma irmã pequena (5 anos) que eu devo cuidar.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, ESTATÍSTICA NÃO-PARAMÉTRICA, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS",Todos,"Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio e espaço próprio para estudo,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,ANÁLISE DE RISCOS,Todos,"Optativas, ACIEPEs","É importante que os professores estejam mesmo aptos a ministrar as disciplinas a distância e que todos os alunos possam conseguir fazer a disciplina. Caso não for possível, não contar como um semestre a mais seria preferível. Prefiro matéria presencial no entanto, mas se não houver possibilidade mesmo, é melhor fazer matérias optativas a distância. Estou no final do curso, e não queria perder a oportunidade de estagiar, pois meu processo de contratação no estágio foi congelado, assim como o curso.  E se o curso continuar integralmente, não terei mais como fazer o estágio, por causa da duração do contrato."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Precisaria de mais privacidade,pois em alguns horários é difícil estar sozinho em casa e ser produtivo.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATISTICA A, INTRODUÇÃO À TEORIA DAS FILAS, PROBABILIDADE 2",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","1) Seria importante levar em conta que os alunos que eventualmente não tenham possibilidade de acesso não sejam prejudicados. Uma sugestão seria não contar como um semestre efetivo que desconta do tempo de formação,mas sim como um semestre extra.        2) É importante levar em consideração qual método vai ser utilizado para avaliação."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Maior privacidade, como minha família toda está em casa, trabalhando e estudando, acaba tendo muito barulho","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE RISCOS, INFERÊNCIA ESTATISTICA B, MÉTODOS EM BIOMETRIA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, INFERÊNCIA ESTATÍSTICA (6 Créditos), INTRODUÇÃO À TEORIA DAS FILAS, PROCESSOS ESTOCÁSTICOS","Muitos, 50% ou mais tem condições","Optativas, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTUDOS POPULACIONAIS, INTRODUÇÃO À ESTATÍSTICA, MINERAÇÃO DE DADOS, PESQUISA DE MERCADO","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, INFERÊNCIA ESTATÍSTICA (6 Créditos)","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ESTATÍSTICA BAYESIANA, ESTATÍSTICA NÃO-PARAMÉTRICA, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATÍSTICA (6 Créditos), INTRODUÇÃO À TEORIA DAS FILAS, SÉRIES TEMPORAIS","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ler textos",Não,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,PROBABILIDADE 1,Todos,"Optativas, Obrigatórias de recuperação",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Um espaço fechado e silencioso ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"INTRODUÇÃO À ESTATÍSTICA, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias gerais","Acredito que as matérias do DM deveriam ser feitas através do EAD, pois a maioria das matérias do curso precisam do pré-requisito que muito alunos não tem."
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,"Na realidade, falta saúde mental e um local apropriado para estudoa","Ruins, muita dificuldade de concentração","Um cômodo para que eu possa estudar, com silêncio.","Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs","Acredito que as disciplinas básicas, de início do curso, não devam ser oferecidas na modalidade EAD. Entendo que isso prejudicará a continuidade do curso, principalmente que pelas aciepes percebeu-se que parte dos professores não estão aptos para essa modalidade, já que não receberam uma formação didática para o ensino a distância."
Ou após 2021,"Sim, mas restrito a emails e mensagens","Escrever e rodar códigos de computador, Escrever e compartilhar textos",Não,Computador ,"Aceitáveis, alguma dificuldade de concentração",Organização ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE RISCOS, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATISTICA A, PESQUISA DE MERCADO",Todos,"Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, CONTROLE ESTATÍSTICO DE QUALIDADE, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Espaço com mais privacidade.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Menos barulho proveniente dos outros membros da casa,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA","Quase todos, menos de 10% não tem condições",,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Lugar tranquilo,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Muitos, 50% ou mais tem condições",Optativas,"Perguntar quais horarios poderiam, pois no periodo da manhã e inicio da tarde não poderia cursar"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração",Silêncio e compreensão dos familiares.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, PROGRAMAÇÃO ESTATÍSTICA",Todos,ACIEPEs,É um erro usar metodologia EAD se não tiver 100% dos alunos com capacidades de assim realizar o semestre.
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, INTRODUÇÃO À TEORIA DAS FILAS, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES TEMPORAIS",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais","Seria ideal que todos os matrículados na universidade pública e gratuita tivessem acesso a recursos que possibilitem o EAD, mas tal cenário não é real. Vejo como dever da universidade promover políticas de permanência estudantil condizentes com o atual momento, tentando viabilizar o EAD para o maior número possível de estudantes, por exemplo, a Unesp estará disponibilizando chips mais o auxílio em espécie para que aqueles sem condições possam atingir os requisitos mínimos para a participação das aulas EAD.

A volta do ensino presencial é uma grande incógnita, e a implementação do EAD é única solução possível no momento para dar continuidade às atividades acadêmicas, fazendo se necessário para que não haja maiores prejuízos. "
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio e lugar adequado ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
